Stage Name,Date of Birth,Group,Debut,Company,Country,Height,Weight,Gender
2Soul,1997-10-09,7 O'clock,2014-08-26,Jungle,South Korea,172.0,55.0,M
A.M,1996-12-31,Limitless,2019-09-07,ONO,South Korea,181.0,62.0,M
Ace,1992-08-28,VAV,2015-10-31,A team,South Korea,177.0,63.0,M
AhIn,1999-09-27,MOMOLAND,2016-09-11,Double Kick,South Korea,160.0,44.0,F
Aki,2001-12-02,MAJORS,2021-09-03,ANS,South Korea,168.0,48.0,F
Alice,1990-03-21,Hello Venus,2012-09-05,Fantagio,South Korea,166.0,47.0,F
A-min,2004-05-22,EPEX,2021-08-06,C9,South Korea,175.0,54.0,M
Andy,1981-01-21,Shinhwa,1998-03-24,SM,South Korea,175.0,62.0,M
Aran,2004-11-10,FIFTY FIFTY,2022-11-18,ATTRAKT,South Korea,162.0,44.0,F
Arang,2001-01-22,Pink Fantasy,2018-10-28,My Doll,South Korea,167.0,49.0,F
Arie,2000-07-04,MIXX,2016-02-05,Chiko,South Korea,163.0,45.0,F
Arin,1999-06-18,Oh My Girl,2015-04-21,WM,South Korea,163.0,47.0,F
Arthur,2000-04-15,Kingdom,2021-02-18,GF,South Korea,176.0,57.0,M
Ayden,2005-01-24,EPEX,2021-08-06,C9,South Korea,174.0,55.0,M
Ayeon,2002-09-29,Saturday,2018-07-18,SD,South Korea,162.0,47.0,F
Ayno,1996-01-05,VAV,2015-10-31,A team,South Korea,183.0,61.0,M
Babysoul,1992-06-07,Lovelyz,2014-11-17,Woollim,South Korea,158.0,41.0,F
Bada,2002-05-28,Hinapia,2019-03-11,Alseulbit,South Korea,162.0,49.0,F
Baek Seung,2004-05-10,EPEX,2021-08-06,C9,South Korea,186.0,64.0,M
Baekgyeul,1999-01-12,E'LAST,2020-09-06,E Entertainment,South Korea,180.0,61.0,M
Baekhyun,1992-06-05,EXO,2012-08-04,SM,South Korea,174.0,58.0,M
BamBam,1997-02-05,GOT7,2014-01-16,JYP,Thailand,170.0,52.0,M
Bao,1996-12-05,XEED,2022-01-12,Nature Space,South Korea,182.0,63.0,M
B-Bomb,1990-12-14,Block B,2011-04-15,KQ,South Korea,178.0,60.0,M
Benji,1992-03-05,B.I.G,2014-09-07,GH,USA,183.0,72.0,M
Bitsaeon,1995-04-06,MONT,2014-05-14,Starship,South Korea,181.0,60.0,M
Boni,1999-10-30,Dreamnote,2018-07-11,iME,South Korea,160.0,45.0,F
Bullet,1995-02-12,VARSITY,2017-05-01,GKC,South Korea,182.0,65.0,M
BX,1998-05-03,CIX,2019-07-23,C9,South Korea,180.0,61.0,M
Casper,1991-03-20,CROSS GENE,2012-08-07,Amuse,China,176.0,66.0,M
Chaejeong,1999-08-26,ALICE,2017-01-07,IOK Company,South Korea,164.0,48.0,F
Chaekyung,1996-07-07,APRIL,2015-08-24,DSP,South Korea,160.0,45.0,F
Chaelin,1999-10-20,FANATICS,2019-06-08,FENT,South Korea,162.0,47.0,F
Chaeyeon,1997-01-12,DIA,2015-07-14,MBK,South Korea,165.0,49.0,F
Changsub,1991-02-26,BtoB,2012-03-21,Cube,South Korea,177.0,64.0,M
Changsun,1996-03-17,24K,2012-06-09,Choeun,South Korea,179.0,58.0,M
Changuk,2001-07-25,DRIPPIN,2020-10-26,Woollim,South Korea,184.0,59.0,M
Chanmi,1996-06-19,AoA,2012-07-30,FNC,South Korea,166.0,47.0,F
Chansung,1990-11-02,2PM,2008-04-07,JYP,South Korea,184.0,75.0,M
Chanyeol,1992-11-27,EXO,2012-08-04,SM,South Korea,185.0,70.0,M
Chen,1992-09-21,EXO,2012-08-04,SM,South Korea,173.0,64.0,M
Choi In,1996-11-02,E'LAST,2020-09-06,E Entertainment,South Korea,170.0,50.0,M
Chowon,2002-09-16,LIGHTSUM,2021-10-06,Cube,South Korea,168.0,50.0,F
Choyeon,2001-01-08,bugAboo,2021-10-25,A team,South Korea,164.0,44.0,F
CNU,1991-06-16,B1A4,2010-04-19,WM,South Korea,182.0,64.0,M
Cory,1990-11-25,24K,2012-06-09,Choeun,South Korea,175.0,58.0,M
D.O.,1993-12-01,EXO,2012-08-04,SM,South Korea,173.0,60.0,M
D1,1998-02-15,DKB,2020-03-02,Brave,South Korea,174.0,59.0,M
Daehyun,1993-06-28,B.A.P,2012-01-27,TS,South Korea,177.0,63.0,M
Daesung,1989-04-26,BIGBANG,2006-08-19,YG,South Korea,178.0,63.0,M
Daewang Nim,1996-08-04,Pink Fantasy,2018-10-28,My Doll,South Korea,162.0,49.0,F
Dajeong,2003-07-31,Pixy,2021-02-24,ALLART,South Korea,157.0,42.0,F
Damin,2004-03-24,Queenz Eye,2022-10-24,Big Mountain,South Korea,166.0,42.0,F
Dawon,2000-12-05,VARSITY,2017-05-01,GKC,South Korea,183.0,69.0,M
Dino,1999-11-02,Seventeen,2015-05-26,Pledis,South Korea,167.0,54.0,M
DK,1997-02-18,Seventeen,2015-05-26,Pledis,South Korea,178.0,68.0,M
Doa,2001-10-29,We;Na,2022-05-09,Shine E&M,South Korea,158.0,44.0,F
Doah,2003-04-12,FANATICS,2019-06-08,FENT,South Korea,163.0,42.0,F
Doha,1992-03-27,XEED,2022-01-12,Nature Space,South Korea,175.0,65.0,M
Dohee,2002-01-08,Cignature,2020-04-02,C9,South Korea,158.0,39.0,F
Dohee,1994-09-25,Tiny-G,2012-08-23,GNG,South Korea,152.0,39.0,F
Dohwan,2003-08-26,Ciipher,2021-03-15,Rain,South Korea,175.0,61.0,M
Dohyon,2004-10-11,BAE173,2020-11-19,PocketDol,South Korea,180.0,62.0,M
Dojin,1997-07-03,ENOi,2019-04-19,KITHEWHALE,South Korea,181.0,61.0,M
Dokyun,1991-11-02,HISTORY,2013-04-26,LOEN,South Korea,184.0,65.0,M
Donghae,1986-10-15,Super Junior,2005-06-11,SM,South Korea,176.0,60.0,M
Donghyuk,1999-12-18,BLANK2Y,2022-05-24,Keystone,South Korea,178.0,61.0,M
Donghyun,1989-12-02,Boyfriend,2011-05-26,Starship,South Korea,178.0,60.0,M
Dongpyo,2002-09-09,Mirae,2021-03-17,DSP,South Korea,166.0,48.0,M
Dongwan,1979-11-21,Shinhwa,1998-03-24,SM,South Korea,173.0,68.0,M
Dongwoo,1990-11-22,Infinite,2010-09-06,Woollim,South Korea,171.0,58.0,M
Dongwoon,1991-06-06,Highlight,2009-10-14,Around Us,South Korea,181.0,64.0,M
Dongyun,2002-02-18,DRIPPIN,2020-10-26,Woollim,South Korea,177.0,61.0,M
Doojoon,1989-04-07,Highlight,2009-10-14,Around Us,South Korea,177.0,66.0,M
DY,2002-02-21,JUST B,2021-06-30,Bluedot,South Korea,175.0,55.0,M
E-Chan,1997-02-19,DKB,2020-03-02,Brave,South Korea,178.0,63.0,M
EJ,1997-08-13,ALICE,2017-01-07,IOK Company,South Korea,164.0,47.0,F
